incident_id,date,title,classification,source_url,notes
29487,2022-09-14T12:14:06,"Load-shedding, increased vandalism and theft have a damaging impact on our electricity infrastructure",incident_candidate,https://www.tshwane.gov.za/?p=29487,"Load-shedding, increased vandalism and theft have a damaging impact on our electricity infrastructure Earlier today, Eskom announced load-shedding has been increased to Stage 4 until Thursday. This comes after the national power utility had already implemented various stages of load-shedding for several days. As we previously communicated, increased levels of load-shedding means that rolling blackouts will affect all regions of Tshwane two to three times a day. Load-shedding in general has a neg"
31077,2022-10-12T08:19:00,EMERGENCY WATER SUPPLY INTERRUPTION: BRONKHORSTSPRUIT WATER PURIFICATION PLANT – 12 October 2022,incident_candidate,https://www.tshwane.gov.za/?p=31077,"A water supply interruption is scheduled for 12 October 2022 for six hours from 21:00 to 3:00 to install a 700 SAFMAG raw water inlet meter at Bronkhorstspruit Water Purification Plant. The following areas will be affected: Bronkhorstspruit Cultura Park Ext 11 Ekandustria (all extensions) Ekangala A, B, C, D, E and F (all extensions) Erasmus (all extensions) Hondsrivier Kristalpark Kungwini Hills Medpark Ovipropark Rethabiseng (all extensions) Riamarpark (all extensions) Tweespruit Landgoed (all"
31092,2022-10-12T08:20:49,Emergency maintenance at Bronkhorstspruit Water Purification Plant,incident_candidate,https://www.tshwane.gov.za/?p=31092,"Tomorrow, 12 October 2022, the City of Tshwane’s Bulk Water Supply Division will install a raw water inlet meter at Bronkhorstspruit Water Purification Plant. This emergency installation will last for six hours from 12 October 2022 at 21:00 until 13 October 2022 at 03:00 . A water supply interruption will be avoided at all costs, but if it occurs the following areas might be affected: Bronkhorstspruit Medpark Cultura Park Ext 11 Ovipropark Ekandustria (all extensions) Rethabiseng (all extensions"
31586,2022-10-21T14:58:28,City of Tshwane prioritising critical infrastructure maintenance to reduce water leaks,incident_candidate,https://www.tshwane.gov.za/?p=31586,"Over the past month, the City of Tshwane and all of Gauteng province has been battling with Stage 2 water restrictions implemented by Rand Water to ensure that water supply across the province does not run out. In an effort to assist Rand Water, we call on residents to continue conserving water to enable Rand Water to return their reservoirs to targeted levels of 60%, which had dropped due to technical issues on their network, coupled with the recent hot weather. While saving water remains criti"
33719,2022-11-15T08:14:40,Update on parts of Region 2 affected by water interruptions,incident_candidate,https://www.tshwane.gov.za/?p=33719,"On Thursday, 10 November 2022, the City’s water distribution team in Region 2 was alerted to a ruptured pipeline in Montana, north east of the Pretoria CBD. The team worked devotedly and managed to restore water to the affected Bougainvilla Retirement Village in Montana. However, on Saturday morning, 12 November 2022, another leak was detected on a different spot that affected residents of the same retirement village and a block of households along Rainstick Street in Montana Gardens. A recent b"
46980,2023-01-31T17:30:38,"City to request urgent engagement with Rand Water on prolonged water supply issues in Soshanguve, parts of Pretoria East and Laudium",incident_candidate,https://www.tshwane.gov.za/?p=46980,"This morning, I urgently requested an engagement with Rand Water to get an assessment of the current water supply issues that are plaguing parts of Tshwane. A week ago, I met with the Rand Water Chairperson and CEO where we discussed the supply constraints they are facing in Tshwane. The City of Tshwane committed to drive water saving and get our consumption down to prepare for the coming heatwave. Over the last week, we have seen some areas in the city run dry. In responding to this, we throttl"
51000,2023-02-17T12:26:17,City of Tshwane Health Department closely monitoring current cholera outbreak – no confirmed cases in Tshwane,incident_candidate,https://www.tshwane.gov.za/?p=51000,"The City of Tshwane Health Department has noted with concern the three recent cases of cholera recorded in the City of Johannesburg. The mentioned cases have a recent travel history to Malawi, a cholera-endemic country. Cholera is an intestinal bacterial infection which can cause severe diarrhoea, nausea, vomiting, cramps and dehydration. Infection is caused by drinking contaminated water or consuming contaminated food. Symptoms usually appear within two or three days of exposure to the bacteria"
51356,2023-02-24T08:38:35,Update – Vandalism affecting pipelines to Rand Water’s booster stations.,incident_candidate,https://www.tshwane.gov.za/?p=51356,"VANDALISM AFFECTING PIPELINES TO RAND WATER’S BOOSTER STATIONS Tshwane residents are informed about an emergency shutdown of the Rand Water supply in order to carry out repairs to its pipeline components that were vandalised yesterday evening. According to the water utility, the isolating valves for the meter that supplies the City of Ekurhuleni’s Edenpark were damaged and, as a result, 52% of pumping to Palmiet Booster Pumping Station and 27% of pumping to Mapleton Booster Pumping Station will "
51372,2023-02-24T13:01:36,LATEST UPDATE: VANDALISM AFFECTING PIPELINES TO RAND WATER’S BOOSTER STATIONS,incident_candidate,https://www.tshwane.gov.za/?p=51372,"The City of Tshwane has been notified that the repairs to the vandalised Rand Water pipeline components are still underway. The utility’s water supply components were vandalised on Wednesday, 22 February 2023, causing damage to the isolating valves for the meter that supplies the City of Ekurhuleni’s Edenpark. This left the pumping capacity to Palmiet Booster Pumping Station at 52% and to Mapleton Booster Pumping Station at 27%, which supply some Tshwane reservoirs. According to the utility, the"
51483,2023-02-28T07:22:21,Bronkhorstspruit Water Treatment Plant operating at low capacity,incident_candidate,https://www.tshwane.gov.za/?p=51483,"The residents of Bronkhorstspruit and nearby areas are informed about an interruption of operations at the Bronkhorstspruit Water Treatment Plant. The said plant has been operating at very low capacity over the last three weeks as a result of equipment failure at the raw water pump station and unforeseen power outages. These challenges have affected the plant negatively and resulted in a low capacity of water produced at the plant. Repair work is currently underway, however, delays to complete t"
