incident_id,date,title,classification,source_url,notes
29282,2022-09-13T07:01:38,City of Tshwane prioritising Bronkhorstspruit water challenges,incident_candidate,https://www.tshwane.gov.za/?p=29282,Series of water leaks across Bronkhorstspruit town that occurred during a labour work-stoppage the preceding week. Manually added -- found via body-aware review. NOTE: predates the real panel date range (starts Oct 2022) -- will not affect current model training until the panel window is extended back.
29297,2022-09-13T07:06:16,Water supply interruption in parts of Centurion,incident_candidate,https://www.tshwane.gov.za/?p=29297,"Leaking pipe in Gerhardsville, Centurion. Affected: Copperleaf, Gerhardsville, Mnandi. Manually added -- found via body-aware review. NOTE: predates the real panel date range (starts Oct 2022) -- will not affect current model training until the panel window is extended back."
31077,2022-10-12T08:19:00,EMERGENCY WATER SUPPLY INTERRUPTION: BRONKHORSTSPRUIT WATER PURIFICATION PLANT – 12 October 2022,incident_candidate,https://www.tshwane.gov.za/?p=31077,"A water supply interruption is scheduled for 12 October 2022 for six hours from 21:00 to 3:00 to install a 700 SAFMAG raw water inlet meter at Bronkhorstspruit Water Purification Plant. The following areas will be affected: Bronkhorstspruit Cultura Park Ext 11 Ekandustria (all extensions) Ekangala A, B, C, D, E and F (all extensions) Erasmus (all extensions) Hondsrivier Kristalpark Kungwini Hills Medpark Ovipropark Rethabiseng (all extensions) Riamarpark (all extensions) Tweespruit Landgoed (all"
33719,2022-11-15T08:14:40,Update on parts of Region 2 affected by water interruptions,incident_candidate,https://www.tshwane.gov.za/?p=33719,"On Thursday, 10 November 2022, the City’s water distribution team in Region 2 was alerted to a ruptured pipeline in Montana, north east of the Pretoria CBD. The team worked devotedly and managed to restore water to the affected Bougainvilla Retirement Village in Montana. However, on Saturday morning, 12 November 2022, another leak was detected on a different spot that affected residents of the same retirement village and a block of households along Rainstick Street in Montana Gardens. A recent b"
51356,2023-02-24T08:38:35,Update – Vandalism affecting pipelines to Rand Water’s booster stations.,incident_candidate,https://www.tshwane.gov.za/?p=51356,"VANDALISM AFFECTING PIPELINES TO RAND WATER’S BOOSTER STATIONS Tshwane residents are informed about an emergency shutdown of the Rand Water supply in order to carry out repairs to its pipeline components that were vandalised yesterday evening. According to the water utility, the isolating valves for the meter that supplies the City of Ekurhuleni’s Edenpark were damaged and, as a result, 52% of pumping to Palmiet Booster Pumping Station and 27% of pumping to Mapleton Booster Pumping Station will "
51483,2023-02-28T07:22:21,Bronkhorstspruit Water Treatment Plant operating at low capacity,incident_candidate,https://www.tshwane.gov.za/?p=51483,"The residents of Bronkhorstspruit and nearby areas are informed about an interruption of operations at the Bronkhorstspruit Water Treatment Plant. The said plant has been operating at very low capacity over the last three weeks as a result of equipment failure at the raw water pump station and unforeseen power outages. These challenges have affected the plant negatively and resulted in a low capacity of water produced at the plant. Repair work is currently underway, however, delays to complete t"
52366,2023-03-17T08:53:25,Emergency shutdown of water supply to Mabopane Block UX,incident_candidate,https://www.tshwane.gov.za/?p=52366,"On 17 March 2023, the City of Tshwane will carry out an emergency shutdown of the water supply to repair a 500 mm pipe in Mabopane Block UX. This urgent work is expected to take nine hours to complete, from 08:00 until 17:00. Odi Hospital and the following areas will be affected: Mabopane Block UX, V, T and R Odinburg Gardens During the shutdown, the Odi Hospital Reservoir supply line, from which the leak emanates, will be isolated. The City of Tshwane apologises for the inconvenience that may b"
53331,2023-04-12T07:15:00,EMERGENCY REPAIRS TO RAND WATER B8 PIPELINE WATER LEAK,incident_candidate,https://www.tshwane.gov.za/?p=53331,"The City of Tshwane has been notified by Rand Water about emergency repair work on a major water leak on their B8 pipeline from Zuikerbosch Water Treatment Plant to Mapleton Booster Pumping Station tomorrow, 12 April 2023. According to the water utility, the leak is increasingly serious and will result in an increase of non-revenue water as well as possible flooding of the electromagnetic equipment which are currently submerged under water. The repair will take eight hours from 04:00 to 12:00 to"
55616,2023-05-10T10:54:39,Urgent repair of Laudium Reservoir main feeder pipe,incident_candidate,https://www.tshwane.gov.za/?p=55616,"Yesterday afternoon, 9 May 2023, the outgoing pipe of Laudium Reservoir was badly damaged by the contractor responsible for upgrading work at the reservoir. Unfortunately, the operational team cannot isolate the pipe at the reservoir because of technical challenges. This means that the reservoir needs to drain completely before we can begin repairing the reservoir. Our operational team was on-site this morning at 06:00 to confirm whether the reservoir had drained so that work could start, but th"
56430,2023-05-22T10:35:35,COMMUNITIES IN HAMMANSKRAAL AND SURROUNDING AREAS URGED NOT TO DRINK WATER FROM TAPS FOLLOWING AN OUTBREAK,incident_candidate,https://www.tshwane.gov.za/?p=56430,"The City of Tshwane would like to urge communities in Hammanskraal and surrounding areas not to use water from taps for drinking purposes following an outbreak in the area. While the water supplied by the City in Hammanskraal is not potable, the City provides drinkable water through 52 water tankers to informal settlements three times a week and 40 water trucks to formal areas daily in Region 2. This is done to ensure that communities have safe drinking water. The City regularly conducts tests o"
