incident_id,category,date_start,date_end,date_confidence,status,primary_area,areas_affected,region_or_ward,asset_type,suspected_cause,source_name,source_url,notes,lat,lon,geocode_precision
INC-2024-001,unplanned_burst,2024-07-14,2024-07-14,confirmed,resolved,Pretoria CBD (Thabo Sehume St / Gautrain Bridge),Stanza Bopape St; Eastwood St; Bosman St; Justice Mohammed St,"Region 3 (central Pretoria) - ward TBD, needs GIS overlay","bulk supply line, size unspecified",not stated in source,Jacaranda FM,https://www.jacarandafm.com/news/news/tshwane-water-gradually-restored-following-pipe-burst/,Same CBD bulk-supply cluster (Bosman St / Gautrain corridor) that fails again in INC-2025-001 and INC-2026-001 - 3 occurrences in 3 different years at same node. Strong repeat-failure-location signal.,-25.75618,28.18634,"area-centroid (Google Places) - NOT exact incident location, good enough for ward tagging only"
INC-2025-001,unplanned_burst,2025-05-21,2025-05-29,confirmed,resolved,Pretoria CBD / Bosman Station (behind Mercedes-Benz dealership),Pretoria CBD; Sunnyside; Arcadia; Eastwood; Muckleneuk; Pretoria Central; near Unisa Sunnyside campus (Willow Road),"Region 3 (central Pretoria) - ward TBD, needs GIS overlay",1000mm HDPE feeder (Salvation Reservoir) and/or 700mm line (Findlay Reservoir); later isolated to 375mm steel valve chamber near Unisa,valve possibly damaged during prior repair of 1000mm HDPE feeder; pressure-surge re-burst when supply reopened,Jacaranda FM; EWN; The Citizen/Rekord; Tshwane Bulletin,https://www.jacarandafm.com/news/news/tshwanehitmajorpipeburst/ ; https://www.ewn.co.za/2025/05/26/some-tshwane-residents-warned-to-brace-for-water-supply-interruptions ; https://www.citizen.co.za/rekord/news-headlines/2025/05/27/burst-pipe-near-unisa-cuts-water-supply-to-cbd/ ; https://www.tshwanebulletin.co.za/2025/05/29/no-end-in-sight-as-tshwane-faces-ongoing-water-outage/,"VALIDATION CASE STUDY (the 'Unisa incident'). Confirmed real, multi-day, with a re-burst after first repair attempt. Closed Unisa Sunnyside campus due to health/sanitation. Recurs at same node in INC-2026-001.",-25.75618,28.18634,"area-centroid (Google Places) - NOT exact incident location, good enough for ward tagging only"
INC-2025-002,unplanned_burst,2025-06-14,2025-06-22,confirmed,resolved,Soshanguve,"Soshanguve Blocks VV, XX, A, B; Soshanguve South Ext 3,4,5,8,9,10,12,14,19","Region 1 (Soshanguve) - ward TBD, needs GIS overlay","1000mm asbestos-cement pipe, Kruisfontein Reservoir feeder",aging asbestos-cement trunk main failure,IOL,https://iol.co.za/news/2025-06-22-soshanguve-residents-face-week-long-water-outage-amid-burst-pipe-crisis/,Week-long outage. Residents blocked the R80 highway in protest - a public/community-distress signal that could be mined (news/social mentions) as a leading or co-occurring indicator alongside the infrastructure feature.,-25.5771921,28.10063,"area-centroid (Google Places) - NOT exact incident location, good enough for ward tagging only"
INC-2025-003,unplanned_burst,2025-03-11,,"approximate (article dated 11 Mar 2025, outage described as already days-long)",resolved,Centurion,Centurion (specific suburb not named in source),"Region (Centurion) - ward TBD, needs GIS overlay","450mm steel trunk main, buried ~9m below embankment / 3m below road",high operating pressure + long-term corrosion fatigue,The Citizen/Rekord,https://www.citizen.co.za/rekord/news-headlines/2025/03/11/centurion-residents-face-days-without-running-water-after-major-pipe-bursts/,"Multi-day outage, daily tanker deployment. Good case for pipe-age/material + pressure feature engineering.",-25.8347475,28.1127491,"area-centroid (Google Places) - NOT exact incident location, good enough for ward tagging only"
INC-2024-Q002,quality_shutdown,2024-10-15,2024-10-16,confirmed,resolved (temporary),Hammanskraal / Temba,Hammanskraal (Manyeleti section of Temba and surrounds),"Wards 49, 73, 74, 75 (Mandela Village, Marokolong, Ramotse, Kekana Gardens/Steve Bikoville) per DWS 2025 statement - confirm against Temba-specific service area","Temba Water Treatment Works (raw-water quality, not a pipe failure)","non-compliant raw water from Apies River, contaminated by Rooiwal WWTW effluent",Power 98.7,https://www.power987.co.za/featured/special-report-hammanskraal-schools-and-businesses-affected-by-water-crisis/,"DIFFERENT FAILURE MECHANISM from pipe bursts - chronic wastewater-driven raw-water contamination, not pipe/asset fatigue. Keep as a separate category so it doesn't contaminate the pipe-failure model's feature set.",-25.6244,28.3273,"area-centroid (Google Places) - NOT exact incident location, good enough for ward tagging only"
INC-2026-001,unplanned_burst,2026-06-22,,"confirmed, ACTIVE as of data pull (2026-06-23)",active/unresolved,Pretoria CBD / Bosman Station - SAME NODE as INC-2025-001 and INC-2024-001,Pretoria CBD; Sunnyside; Arcadia; Bryntirion; Eastwood; Lisdogan Park; Balmoral; Salvokop,"Region 3 (central Pretoria) - ward TBD, needs GIS overlay","1000mm HDPE pipe, burst at two separate points",not yet stated by City (excavation/diagnosis in progress),"City of Tshwane (@CityTshwane on X), aggregated by ourpower.co.za",https://www.ourpower.co.za/water-outages/tshwane ; https://x.com/CityTshwane/status/2069015447572283822,"HIGH-VALUE: third failure at the same CBD bulk-supply chokepoint in 3 years (2024, 2025, 2026). Strongest available real-world case for a 'repeat failure location' / infrastructure-fatigue feature.",-25.75618,28.18634,"area-centroid (Google Places) - NOT exact incident location, good enough for ward tagging only"
INC-2026-002,unplanned_burst,2026-06-22,,"confirmed, active as of data pull",active/unresolved,Magalieskruin / Sinoville,Magalieskruin; Sinoville,Region (north Pretoria) - ward TBD,"pipe leak, Carlo Street - size unspecified",not stated,"City of Tshwane (X), via ourpower.co.za",https://www.ourpower.co.za/water-outages/tshwane,,-25.6849464,28.2321952,"area-centroid (Google Places) - NOT exact incident location, good enough for ward tagging only"
INC-2026-003,vandalism,2026-06-22,,"confirmed, active as of data pull",active/unresolved,Mamelodi (R3 Reservoir),Mamelodi,Region (Mamelodi) - ward TBD,reservoir infrastructure,vandalism,"City of Tshwane (X), via ourpower.co.za",https://www.ourpower.co.za/water-outages/tshwane,"Vandalism-caused, not mechanical fatigue - exclude from pipe-failure predictive target or model as a separate hazard class.",-25.7234441,28.4221519,"area-centroid (Google Places) - NOT exact incident location, good enough for ward tagging only"
INC-2026-004,unplanned_burst,2026-06-22,,"confirmed, active as of data pull",active/unresolved,Soshanguve Block IA,Block IA; Block FF; parts of Block GG,Region 1 (Soshanguve) - ward TBD,"pipe leak at 210/66, Block IA - size unspecified",not stated,"City of Tshwane (X), via ourpower.co.za",https://www.ourpower.co.za/water-outages/tshwane,"Same broad area as INC-2025-002 (Soshanguve) - second confirmed Soshanguve incident within ~1 year, another repeat-area candidate.",-25.4827145,28.090321,"area-centroid (Google Places) - NOT exact incident location, good enough for ward tagging only"
INC-2026-005,unplanned_burst,2026-06-22,,"confirmed, active as of data pull",active/unresolved,Mabopane Block E,Mabopane Block E,Region (Mabopane) - ward TBD,pipe leak - size unspecified,not stated,"City of Tshwane (X), via ourpower.co.za",https://www.ourpower.co.za/water-outages/tshwane,,-25.5130652,28.0402843,"area-centroid (Google Places) - NOT exact incident location, good enough for ward tagging only"
